DISP, '2013-08-01-00:00:00' 
735478.333333,25.678002
735478.375000,25.689710
735478.416667,25.655086
735478.458333,25.645950
735478.500000,25.648921
735478.541667,25.663641
735478.583333,25.670560
735478.625000,25.660651
735478.666667,25.678789
735478.708333,25.698017
735478.750000,25.706486
735478.791667,25.742372
735478.833333,25.731024
735478.875000,25.708308
735478.916667,25.717438
735478.958333,25.747058
735479.000000,25.773249
735479.041667,25.777857
735479.083333,25.783000
735479.125000,25.768542
735479.166667,25.765940
735479.208333,25.757483
735479.250000,25.760549
735479.291667,25.761016
735479.333333,25.768742
735479.375000,25.729746
735479.416667,25.689654
735479.458333,25.707939
735479.500000,25.692366
735479.541667,25.669089
735479.583333,25.670763
735479.625000,25.657812
735479.666667,25.662803
735479.708333,25.680874
735479.750000,25.720966
735479.791667,25.761613
735479.833333,25.769592
735479.875000,25.773784
735479.916667,25.786752
735479.958333,25.774680
735480.000000,25.789098
735480.041667,25.801356
735480.083333,25.796633
735480.125000,25.786169
735480.166667,25.800300
735480.208333,25.763055
735480.250000,25.741199
735480.291667,25.734580
735480.333333,25.705425
735480.375000,25.718559
735480.416667,25.676179
735480.458333,25.666744
735480.500000,25.678657
735480.541667,25.689274
735480.583333,25.718316
735480.625000,25.677251
735480.666667,25.697947
735480.708333,25.695592
735480.750012,25.719816
735480.791678,25.703420
735480.833345,25.710536
735480.875012,25.707638
735480.916667,25.743002
735480.958333,25.714833
735481.000000,25.719357
735481.041667,25.759261
735481.083333,25.778511
735481.125000,25.732737
735481.166667,25.724311
735481.208333,25.719294
735481.250000,25.703209
735481.291667,25.678764
735481.333333,25.675615
735481.375000,25.685625
735481.416667,25.660408
735481.458333,25.677540
735481.500000,25.682007
735481.541667,25.676945
735481.583333,25.677182
735481.625000,25.644531
735481.666667,25.627192
735481.708333,25.613136
735481.750000,25.622962
735481.791667,25.654109
735481.833333,25.653169
735481.875000,25.685610
735481.916667,25.669136
735481.958333,25.686128
735482.000000,25.700396
735482.041667,25.704456
735482.083333,25.706714
735482.125000,25.696155
735482.166667,25.654092
735482.208333,25.618803
735482.250000,25.625958
735482.291667,25.593773
735482.333333,25.601283
735482.375000,25.601621
735482.416667,25.592960
735482.458333,25.582273
735482.500000,25.587925
735482.541667,25.601995
735482.583333,25.616232
735482.625000,25.625999
735482.666667,25.660331
735482.708333,25.654542
735482.750000,25.661997
735482.791667,25.697722
735482.833333,25.728117
735482.875000,25.759830
735482.916667,25.753003
735482.958333,25.745780
735483.000000,25.770653
735483.041667,25.782106
735483.083333,25.781120
735483.125000,25.745905
735483.166667,25.692715
735483.208333,25.700550
735483.250000,25.671205
735483.291667,25.624047
735483.333333,25.579762
735483.375000,25.560929
735483.416667,25.556487
735483.458333,25.557364
735483.500000,25.522353
735483.541667,25.556577
735483.583333,25.571847
735483.625000,25.592760
735483.666667,25.635851
735483.708333,25.673812
735483.750000,25.647717
735483.791667,25.677231
735483.833333,25.683999
735483.875000,25.737716
735483.916667,25.720548
735483.958333,25.748550
735484.000000,25.761812
735484.041667,25.721628
735484.083333,25.715936
735484.125000,25.707829
735484.166667,25.717231
735484.208333,25.712342
735484.250000,25.724818
735484.291667,25.747062
735484.333333,25.748008
735484.375000,25.724930
735484.416667,25.732913
735484.458333,25.696053
735484.500000,25.676423
735484.541667,25.693755
735484.583333,25.670964
735484.625000,25.662333
735484.666667,25.675915
735484.708333,25.697529
735484.750000,25.763852
735484.791667,25.722468
735484.833333,25.708093
735484.875000,25.730939
735484.916667,25.765269
735484.958333,25.772792
735485.000000,25.781567
735485.041667,25.794078
735485.083333,25.804686
735485.125000,25.820833
735485.166667,25.791210
735485.208333,25.791574
735485.250000,25.784821
735485.291667,25.753908
735485.333333,25.771770
735485.375000,25.748468
735485.416667,25.699026
735485.458333,25.686377
735485.500000,25.664998
735485.541667,25.632268
735485.583333,25.642662
735485.625000,25.640882
735485.666667,25.667022
735485.708333,25.653609
735485.750000,25.688427
735485.791667,25.706418
735485.833333,25.724037
735485.875000,25.786005
735485.916667,25.839308
735485.958333,25.856740
735486.000000,25.886646
735486.041667,25.888468
735486.083333,25.877753
735486.125000,25.875784
735486.166667,25.891082
735486.208333,25.869021
735486.250000,25.870718
735486.291667,25.823494
735486.333333,25.827482
735486.375000,25.776156
735486.416667,25.739694
735486.458333,25.732320
735486.500000,25.747314
735486.541667,25.775168
735486.583333,25.785399
735486.625000,25.763950
735486.666667,25.762995
735486.708333,25.708565
735486.750000,25.725568
735486.791667,25.752026
735486.833333,25.798851
735486.875000,25.854457
735486.916667,25.847685
735486.958333,25.865215
735487.000000,25.897916
735487.041667,25.900537
735487.083333,25.870014
735487.125000,25.855325
735487.166667,25.873729
735487.208333,25.875811
735487.250000,25.856023
735487.291667,25.807515
735487.333333,25.775490
735487.375000,25.760970
735487.416667,25.719823
735487.458333,25.739424
735487.500000,25.753535
735487.541667,25.731219
735487.583333,25.740124
735487.625000,25.733852
735487.666667,25.732136
735487.708333,25.722924
735487.750000,25.742455
735487.791667,25.767688
735487.833333,25.815284
735487.875000,25.827462
735487.916667,25.868420
735487.958333,25.875480
735488.000000,25.874182
735488.041667,25.885924
735488.083333,25.875177
735488.125000,25.925667
735488.166667,25.920595
735488.208333,25.879879
735488.250000,25.872520
735488.291667,25.863036
735488.333333,25.847584
735488.375000,25.840025
735488.416667,25.844765
735488.458333,25.831959
735488.500000,25.835691
735488.541667,25.815146
735488.583333,25.798460
735488.625000,25.848077
735488.666667,25.882984
735488.708333,25.905684
735488.750000,25.939547
735488.791667,25.951432
735488.833333,25.948034
735488.875000,25.959111
