DISP, '2013-08-01-00:00:00' 
735477.458333,25.772238
735477.500000,25.776453
735477.541667,25.778575
735477.583333,25.795805
735477.625000,25.778254
735477.666667,25.784745
735477.708333,25.799447
735477.750000,25.809032
735477.791667,25.820240
735477.833333,25.830822
735477.875000,25.848187
735477.916667,25.849290
735477.958333,25.877913
735478.000000,25.900387
735478.041667,25.896104
735478.083333,25.903647
735478.125000,25.886258
735478.166667,25.885376
735478.208333,25.894860
735478.250000,25.877705
735478.291667,25.875729
735478.333333,25.867060
735478.375000,25.828189
735478.416667,25.793430
735478.458333,25.789367
735478.500000,25.774160
735478.541667,25.763617
735478.583333,25.707495
735478.625000,25.696028
735478.666667,25.713345
735478.708333,25.730007
735478.750000,25.741522
735478.791667,25.757570
735478.833333,25.765318
735478.875000,25.786412
735478.916667,25.764776
735478.958333,25.786587
735479.000000,25.800765
735479.041667,25.782321
735479.083333,25.764867
735479.125000,25.782846
735479.166667,25.787788
735479.208333,25.790917
735479.250000,25.759103
735479.291667,25.711804
735479.333333,25.685531
735479.375000,25.667474
735479.416667,25.669035
735479.458333,25.672870
735479.500000,25.687770
735479.541667,25.715718
735479.583333,25.693629
735479.625000,25.691672
735479.666667,25.666820
735479.708333,25.674217
735479.750000,25.684530
735479.791667,25.718184
735479.833333,25.717180
735479.875000,25.729274
735479.916667,25.770855
735479.958333,25.766036
735480.000000,25.787269
735480.041667,25.797854
735480.083333,25.837352
735480.125000,25.857481
735480.166667,25.853135
735480.208333,25.849565
735480.250000,25.839687
735480.291667,25.838115
735480.333333,25.813983
735480.375000,25.760125
735480.416667,25.748535
735480.458333,25.750162
735480.500000,25.746004
735480.541667,25.758999
735480.583333,25.756700
735480.625000,25.748173
735480.666667,25.731212
735480.708333,25.765366
735480.750012,25.792116
735480.791678,25.811332
735480.833345,25.863541
735480.875012,25.857966
735480.916667,25.903719
735480.958333,25.905843
735481.000000,25.926663
735481.041667,25.896827
735481.083333,25.886116
735481.125000,25.907236
735481.166667,25.899068
735481.208333,25.885385
735481.250000,25.855933
735481.291667,25.832351
735481.333333,25.817051
735481.375000,25.770363
735481.416667,25.759329
735481.458333,25.752786
735481.500000,25.727647
735481.541667,25.700351
735481.583333,25.687622
735481.625000,25.672512
735481.666667,25.656144
735481.708333,25.687531
735481.750000,25.703762
735481.791667,25.716803
735481.833333,25.769520
