Depl-Y1, '1993-08-16-12:00:00' 
734868.052083,18.560893
734875.062500,18.653166
734882.072917,18.695516
734889.083333,19.177572
734896.093750,19.102978
734903.104167,18.890057
734910.114583,19.138116
734917.125000,18.944898
734924.135417,19.035031
734931.145833,18.459335
734938.156250,18.528711
734943.734375,NaN
734949.312500,NaN
734954.890625,NaN
734960.468750,NaN
734966.046875,NaN
734971.625000,NaN
734977.203125,NaN
734982.781250,NaN
734988.359375,NaN
734993.937500,NaN
734999.515625,NaN
735005.093750,NaN
735010.671875,NaN
735016.250000,NaN
735021.828125,NaN
735027.406250,NaN
735032.984375,NaN
735038.562500,NaN
735044.140625,NaN
735049.718750,NaN
735055.296875,NaN
735060.875000,NaN
735066.453125,NaN
735072.031250,NaN
735077.609375,NaN
735083.187500,NaN
735088.765625,NaN
735094.343750,NaN
735099.921875,NaN
735105.500000,NaN
735111.078125,NaN
735116.656250,18.200909
735123.666667,18.010520
735130.677083,18.018899
735137.687500,17.693583
735144.697917,17.058632
735151.708333,17.273995
735158.718750,17.075004
735165.729167,17.224587
735172.739583,16.691872
735179.750000,16.423782
735186.760417,16.682131
735193.770833,16.420336
735200.781250,16.355817
735207.791667,16.520189
735214.802083,16.753255
735221.812500,16.325498
735228.822917,16.585385
735235.833333,16.146890
735242.843750,15.473514
735249.854167,15.104681
735256.864583,14.842953
735263.875000,14.893756
735270.885417,15.192817
735277.895833,15.146240
735284.906250,15.404939
735291.916667,16.315336
735298.927083,15.862798
735305.937500,15.774245
735312.947917,15.917977
735319.958333,15.772616
735326.968750,16.534630
735333.979167,17.145630
735340.989583,17.432896
735348.000000,16.845077
735355.010417,16.537955
735362.020833,16.598359
735369.031250,16.140913
735376.041667,16.341761
735383.052083,16.123645
735390.062500,16.362208
735397.072917,16.521289
735404.083333,16.289391
735411.093750,16.251557
735418.104167,16.253136
735425.114583,16.641444
735432.125000,16.427567
735439.135417,16.619781
735446.145833,16.100636
735453.156250,16.556545
735460.166667,16.153671
735467.177083,16.630661
735474.187500,16.703732
735481.197917,16.578713
735488.208333,16.311695
735495.218750,15.672769
735502.229167,15.625110
735509.239583,14.838745
735516.250000,14.951014
735523.260417,15.255431
735530.270833,16.050980
735537.281250,16.451812
735544.291667,15.830495
735551.302083,15.443497
735558.312500,15.055584
735565.322917,14.534584
735572.333333,15.045033
735579.343750,14.288113
735586.354167,13.965793
735593.364583,13.864185
735600.375000,13.732080
735607.385417,13.587055
735614.395833,13.381133
735621.406250,12.993343
735628.416667,13.045824
735635.427083,13.482914
735642.437500,13.542910
735649.447917,13.588895
735656.458333,13.130786
735663.468750,13.331501
735670.479167,13.107719
735677.489583,13.100922
735684.500000,13.683727
735691.510417,13.908451
735698.520833,13.261237
735705.531250,13.703968
735712.541667,13.474052
735719.552083,13.455900
735726.562500,13.275609
735733.572917,14.075583
735738.881510,NaN
735744.190104,NaN
735749.498698,NaN
735754.807292,NaN
735760.115885,NaN
735765.424479,NaN
735770.733073,NaN
735776.041667,NaN
735781.350260,NaN
735786.658854,NaN
735791.967448,NaN
735797.276042,NaN
735802.584635,NaN
735807.893229,NaN
735813.201823,NaN
735818.510417,NaN
735823.819010,NaN
735829.127604,NaN
735834.436198,NaN
735839.744792,NaN
735845.053385,NaN
735850.361979,NaN
735855.670573,NaN
735860.979167,NaN
735866.287760,NaN
735871.596354,NaN
735876.904948,NaN
735882.213542,NaN
735887.522135,NaN
735892.830729,NaN
735898.139323,NaN
735903.447917,12.916104
735910.458333,13.504895
735917.468750,13.669779
735924.479167,14.234556
735931.489583,14.103819
735938.500000,13.812240
735945.510417,13.101917
735952.520833,12.817043
735959.531250,13.356517
735966.541667,14.100220
735973.552083,14.322175
735980.562500,13.931520
735987.572917,13.664800
735994.583333,13.486687
736001.593750,13.665465
736008.604167,14.375610
736015.614583,13.103709
736022.625000,13.929425
736029.635417,14.463973
736036.645833,13.948304
736043.656250,13.847926
736050.666667,13.717431
736057.677083,13.225932
736064.687500,13.009903
736071.697917,12.539231
736078.708333,12.395181
736085.718750,12.682787
736092.729167,12.792250
736099.739583,12.388716
736106.750000,11.905017
736113.760417,12.084964
736120.770833,12.338420
736127.781250,12.402461
736134.791667,12.644379
736141.802083,12.534516
736148.812500,12.563577
736155.822917,12.894651
736162.833333,13.092442
736169.843750,12.904119
736176.854167,12.865562
736183.864583,13.178303
736190.875000,13.472148
736197.885417,13.236172
736204.895833,13.392059
736211.906250,13.730708
736218.916667,13.010531
736225.927083,11.985487
736232.937500,12.055743
736239.947917,11.830655
736246.958333,12.111971
736253.968750,11.294297
736260.979167,10.977265
736267.989583,10.854434
736275.000000,10.732149
736282.010417,10.254889
736289.020833,10.558349
736296.031250,10.778664
736303.041667,10.793742
736310.052083,11.504116
736317.062500,11.396603
736324.072917,10.785955
736331.083333,10.923733
736338.093750,10.356245
736345.104167,9.855328
736352.114583,10.478216
736359.125000,10.407634
736366.135417,10.369164
736373.145833,10.609604
736380.156250,10.710048
736387.166667,10.347141
736394.177083,10.352720
736401.187500,10.881033
736408.197917,10.508951
736415.208333,9.483680
736422.218750,9.922572
736426.281250,NaN
736430.343750,NaN
736434.406250,NaN
736438.468750,9.958558
736445.479167,10.256328
736452.489583,10.523049
736459.500000,9.962133
736466.510417,10.229946
736473.520833,10.479043
736480.531250,9.836162
736487.541667,10.009413
736494.552083,10.163655
736501.562500,9.415116
736508.572917,9.109492
736515.583333,9.401623
736522.593750,9.435692
736529.604167,9.293931
736536.614583,9.548555
736543.625000,9.905009
736550.635417,9.944515
736557.645833,10.050313
736564.656250,10.139597
736571.666667,9.616280
736578.677083,9.242994
736585.687500,9.227032
736592.697917,8.951725
736599.708333,8.481429
736606.718750,8.833329
736613.729167,8.329415
736620.739583,7.999522
736627.750000,8.672056
736634.760417,7.977616
736641.770833,8.374760
736648.781250,8.635333
736655.791667,8.867698
736662.802083,8.959474
736669.812500,8.379377
736676.822917,8.634603
736683.833333,8.187020
736690.843750,7.968940
736697.854167,8.916960
736704.864583,9.379750
736711.875000,8.573087
736718.885417,8.205336
736725.895833,8.068068
736732.906250,8.047499
736739.916667,8.732708
736746.927083,8.487934
736753.937500,7.977818
736760.947917,7.113729
736767.958333,7.684758
736774.968750,7.464509
736781.979167,7.743009
736788.989583,7.352643
736796.000000,6.790055
736803.010417,7.067460
736810.020833,7.013312
736817.031250,7.127644
736824.041667,6.536875
736831.052083,6.567404
736838.062500,7.067289
736845.072917,7.394921
736852.083333,7.271114
736859.093750,7.362797
736866.104167,6.989595
736873.114583,7.579240
736880.125000,6.713563
736887.135417,7.036496
736894.145833,6.835939
736901.156250,6.504305
736908.166667,7.006403
736915.177083,8.088913
736922.187500,8.098295
736929.197917,8.217298
736936.208333,7.776563
736943.218750,7.566188
736950.229167,7.677579
736957.239583,7.639026
736964.250000,7.361152
