LTU014PIAEVA920', 
732781,-6.52
732782,-6.57
732783,-6.57
732784,-6.58
732785,-6.59
732786,-6.64
732787,-6.72
732788,-6.78
732789,-6.83
732790,-6.85
732791,-6.88
732792,-6.88
732793,-6.87
732794,-6.84
732799.75,-7.07
732800,-7.07
732801,-7.07
732802,-7.13
732803,-7.17
732804,-7.17
732805,-7.14
732806,-7.16
732807,-7.23
732808,-7.25
732809,-7.32
732810,-7.38
732811,-7.46
732812,-7.54
732813,-7.6
732814,-7.64
732815,-7.64
732816,-7.62
732817,-7.58
732818,-7.58
732819,-7.6
732820,-7.6
732821,-7.58
732822,-7.6
732823,-7.61
732824,-7.66
732825,-7.75
732826,-7.83
732827,-7.89
732828,-7.92
732829,-7.97
732843.625,-8.35
732844,-8.36
732845,-8.42
732846,-8.45
732847,-8.54
732848,-8.6
732849,-8.57
732885,-9.24
732886,-9.25
732887,-9.28
732888,-9.33
732889,-9.34
732890,-9.34
732891,-9.35
732892,-9.36
732893,-9.4
732894,-9.43
732895,-9.42
732896,-9.41
732903.5,-9.48
732904,-9.43
732905,-9.54
732906,-9.52
732915,-9.56
732916,-9.55
732917,-9.53
732918,-9.45
732919,-9.35
732920,-9.14
732921,-9.11
732922,-9.12
732923,-9.1
732924,-9.12
732925,-9.09
732926,-9.06
732927,-9.11
732928,-9.09
732929,-9.05
732930,-9.05
732931,-9.01
732932,-9
732933,-8.99
732934,-8.96
732935,-8.95
732936,-8.94
732937,-8.94
732938,-8.94
732939.125,-8.95
732940,-8.93
732941,-8.92
732942,-8.87
732943,-8.84
732944,-8.82
732945,-8.81
732946,-8.77
732947,-8.74
732948,-8.68
732949,-8.69
732950,-8.71
732951,-8.66
732952,-8.63
732953,-8.59
732954,-8.56
732955,-8.56
732956,-8.51
732957,-8.48
732958,-8.43
732959,-8.42
732960,-8.43
732961,-8.44
732962,-8.38
732963,-8.38
732964,-8.33
732965,-8.29
732966,-8.24
732967,-8.17
732968,-8.15
732969,-8.13
732970,-8.16
732971,-8.17
732972,-8.16
732973,-8.12
732974,-8.11
732975,-8.09
732976,-8.07
732977,-8.07
732978,-8.06
732979,-8.01
732980,-7.98
732981,-7.95
732982,-7.91
732983,-7.89
732984,-7.86
732985,-7.82
732986,-7.8
732987,-7.76
732988,-7.75
732989,-7.6
732990,-7.62
732991,-7.63
732992,-7.62
732993,-7.58
732994,-7.57
732995,-7.54
732996,-7.56
732997,-7.56
732998,-7.56
732999,-7.59
733000,-7.58
733001,-7.56
733002,-7.51
733003,-7.45
733004,-7.46
733005,-7.45
733006,-7.42
733007,-7.38
733008,-7.37
733012.3333,-7.3
733013,-7.29
733014,-7.3
733015,-7.26
733016,-7.24
733017,-7.2
733018,-7.17
733019,-7.13
733020,-7.1
733021,-7.06
733022,-7.02
733023,-6.96
733024,-6.93
733027.625,-6.89
733028,-6.88
733029,-6.88
733030,-6.87
733031.0417,-6.86
733032.0417,-6.85
733033.0417,-6.83
