LTU017PIAPRG300',2009-12-07-16:00:00'
734155.958333333 , -17.06
734156 , -17.06
734156.041666667 , -17.06
734156.083333333 , -17.06
734156.125 , -17.06
734156.166666667 , -17.06
734156.208333333 , -17.06
734156.25 , -17.06
734156.291666667 , -17.06
734156.333333333 , -17.06
734156.375 , -17.06
734156.416666667 , -17.07
734156.625 , -17.07
734156.708333333 , -17.07
734156.791666667 , -17.07
734156.875 , -17.07
734156.958333333 , -17.09
734157.041666667 , -17.09
734157.125 , -17.09
734157.208333333 , -17.07
734157.291666667 , -17.07
734157.375 , -17.09
734157.458333333 , -17.09
734157.541666667 , -17.09
734157.625 , -17.09
734157.708333333 , -17.1
734157.791666667 , -17.1
734157.875 , -17.1
734157.958333333 , -17.1
734158.041666667 , -17.1
734158.125 , -17.1
734158.208333333 , -17.09
734158.291666667 , -17.09
734158.375 , -17.09
734158.458333333 , -17.09
734158.541666667 , -17.09
734158.625 , -17.1
734158.708333333 , -17.11
734158.791666667 , -17.11
734158.875 , -17.11
734158.958333333 , -17.1
734159.041666667 , -17.09
734159.125 , -17.07
734159.208333333 , -17.07
734159.291666667 , -17.07
734159.375 , -17.06
734159.458333333 , -17.06
734159.541666667 , -17.07
734159.625 , -17.09
734159.708333333 , -17.09
734159.791666667 , -17.07
734159.875 , -17.07
734159.958333333 , -17.06
734160.041666667 , -17.05
734160.125 , -17.02
734160.208333333 , -17.01
734160.291666667 , -17
734160.375 , -17
734160.458333333 , -16.99
734160.541666667 , -17
734160.625 , -17.01
734160.708333333 , -17.01
734160.791666667 , -17.01
734160.875 , -17
734160.958333333 , -17
734161.041666667 , -17
734161.125 , -17
734161.208333333 , -17
734161.291666667 , -16.99
734161.375 , -16.99
734161.458333333 , -16.97
734161.541666667 , -16.99
734161.625 , -17
734161.708333333 , -17.01
734161.791666667 , -17.01
734161.875 , -17.01
734161.958333333 , -17.01
734162.041666667 , -17.02
734162.125 , -17.02
734162.208333333 , -17.02
734162.291666667 , -17.04
734162.375 , -17.05
734162.458333333 , -17.07
734162.541666667 , -17.09
734162.625 , -17.1
734162.708333333 , -17.11
734162.791666667 , -17.14
734162.875 , -17.14
734162.958333333 , -17.15
734163.041666667 , -17.16
734163.125 , -17.16
734163.208333333 , -17.16
734163.291666667 , -17.17
734163.375 , -17.18
734163.458333333 , -17.2
734163.541666667 , -17.2
734163.625 , -17.21
734163.708333333 , -17.23
734163.791666667 , -17.25
734163.875 , -17.25
734163.958333333 , -17.23
734164.041666667 , -17.23
734164.125 , -17.23
734164.208333333 , -17.23
734164.291666667 , -17.22
734164.375 , -17.22
734164.458333333 , -17.22
734164.541666667 , -17.22
734164.625 , -17.22
734164.708333333 , -17.23
734164.791666667 , -17.22
734164.875 , -17.21
734164.958333333 , -17.21
734165.041666667 , -17.2
734165.125 , -17.18
734165.208333333 , -17.18
734165.291666667 , -17.17
734165.375 , -17.18
734165.458333333 , -17.17
734165.541666667 , -17.18
734165.625 , -17.18
734165.708333333 , -17.18
734165.791666667 , -17.18
734165.875 , -17.18
734165.958333333 , -17.18
734166.041666667 , -17.16
734166.125 , -17.15
734166.208333333 , -17.14
734166.291666667 , -17.12
734166.375 , -17.11
734166.458333333 , -17.1
734166.541666667 , -17.1
734166.625 , -17.09
734166.708333333 , -17.09
734166.791666667 , -17.07
734166.875 , -17.06
734166.958333333 , -17.04
734167.041666667 , -17.02
734167.125 , -17.01
734167.208333333 , -17
734167.291666667 , -16.99
734167.375 , -16.99
734167.458333333 , -16.97
734167.541666667 , -17
734167.625 , -17.01
734167.708333333 , -17.01
734167.791666667 , -17
734167.875 , -17
734167.958333333 , -16.97
734168.041666667 , -16.96
734168.125 , -16.95
734168.208333333 , -16.94
734168.291666667 , -16.94
734168.375 , -16.94
734168.458333333 , -16.94
734168.541666667 , -16.95
734168.625 , -16.95
734168.708333333 , -16.96
734168.791666667 , -16.94
734168.875 , -16.94
734168.958333333 , -16.91
734169.041666667 , -16.91
734169.125 , -16.9
734169.208333333 , -16.89
734169.291666667 , -16.89
734169.375 , -16.88
734169.458333333 , -16.88
734169.541666667 , -16.89
734169.625 , -16.89
734169.708333333 , -16.89
734169.791666667 , -16.88
