'LTU037THAPRG900',2010-07-15-23:00:00'
734390.7917,NaN
734390.8333,NaN
734390.875,NaN
734390.9167,NaN
734390.9583,NaN
734391,19.4
734391.0417,NaN
734391.0833,NaN
734391.125,NaN
734391.1667,NaN
734391.2083,NaN
734391.25,NaN
734391.2917,NaN
734391.3333,NaN
734391.375,NaN
734391.4167,NaN
734391.4583,NaN
734391.5,19.35
734391.5417,NaN
734391.5833,NaN
734391.625,NaN
734391.6667,NaN
734391.7083,NaN
734391.75,NaN
734391.7917,NaN
734391.8333,NaN
734391.875,NaN
734391.9167,NaN
734391.9583,NaN
734392,19.31
734392.0417,NaN
734392.0833,NaN
734392.125,NaN
734392.1667,NaN
734392.2083,NaN
734392.25,NaN
734392.2917,NaN
734392.3333,NaN
734392.375,NaN
734392.4167,NaN
734392.4583,NaN
734392.5,19.24
734392.5417,NaN
734392.5833,NaN
734392.625,NaN
734392.6667,NaN
734392.7083,NaN
734392.75,NaN
734392.7917,NaN
734392.8333,NaN
734392.875,NaN
734392.9167,NaN
734392.9583,NaN
734393,19.27
734393.0417,NaN
734393.0833,NaN
734393.125,NaN
734393.1667,NaN
734393.2083,NaN
734393.25,NaN
734393.2917,NaN
734393.3333,NaN
734393.375,NaN
734393.4167,NaN
734393.4583,NaN
734393.5,19.19
734393.5417,NaN
734393.5833,NaN
734393.625,NaN
734393.6667,NaN
734393.7083,NaN
734393.75,NaN
734393.7917,NaN
734393.8333,NaN
734393.875,NaN
734393.9167,NaN
734393.9583,NaN
734394,18.83
734394.0417,NaN
734394.0833,NaN
734394.125,NaN
734394.1667,NaN
734394.2083,NaN
734394.25,NaN
734394.2917,NaN
734394.3333,NaN
734394.375,NaN
734394.4167,NaN
734394.4583,NaN
734394.5,18.81
734394.5417,NaN
734394.5833,NaN
734394.625,NaN
734394.6667,NaN
734394.7083,NaN
734394.75,NaN
734394.7917,NaN
734394.8333,NaN
734394.875,NaN
734394.9167,NaN
734394.9583,NaN
734395,18.63
734395.0417,NaN
734395.0833,NaN
734395.125,NaN
734395.1667,NaN
734395.2083,NaN
734395.25,NaN
734395.2917,NaN
734395.3333,NaN
