'LTU016PIAPE910',2003-01-08-00:00:00'
732576.5,3.49
732577,3.44
732578,3.41
732579,3.37
732580,3.32
732581,3.29
732582,3.24
732583,3.2
732584,3.19
732585,3.14
732586,3.09
732587,3.08
732588,3.09
732589,3.08
732590,3.12
732591,3.12
732592,3.11
732593,3.08
732594,3.01
732595,2.98
732596,2.96
732597,2.92
732598,2.89
732599,2.86
732600,2.84
732601,2.84
732602,2.79
732603,2.74
732604,2.71
732605,2.66
732606,2.61
732607,2.57
732608,2.54
732609,2.5
732610,2.48
732611,2.44
732612,2.39
732613,2.36
732614,2.34
732615,2.31
732616,2.31
732617,2.32
732618,2.34
732619,2.31
732620,2.26
732621,2.19
732622,2.16
732623,2.13
732624,2.12
732625,2.07
732626,2.05
732627,2.01
732628,1.98
732629,1.95
732630,1.97
732631,1.99
732632,1.91
732633,1.89
732634,1.85
732635,1.78
732636,1.74
732637,1.75
732638,1.77
732639,1.73
732640,1.65
732641,1.61
732642,1.57
732643,1.55
732644,1.54
732645,1.57
732646,1.65
732647,1.67
732648,1.67
732649,1.66
732650,1.63
732651,1.6
732652,1.57
732653,1.53
732654,1.48
732655,1.44
732656,1.45
732657,1.46
732658,1.47
732659,1.42
732660,1.39
732661,1.35
732662,1.33
732663,1.34
732664,1.38
732665,1.41
732666,1.44
732667,1.44
732668,1.39
732674.125,1.45
732675,1.46
732676,1.47
732677,1.46
732678,1.41
732679,1.39
732680,1.4
732681,1.39
732682,1.39
732683,1.41
732684,1.44
732685,1.45
732686,1.45
732687,1.47
732688,1.49
732689,1.5
732690,1.55
732691,1.59
732692,1.59
732693,1.53
732694,1.49
732695,1.46
732696,1.51
732697,1.54
732698,1.56
732699,1.59
732700,1.58
732701,1.59
732702,1.6
732703,1.63
732704,1.63
732705,1.6
732706,1.61
732707,1.6
732708,1.59
732709,1.62
732710,1.64
732711,1.66
732712,1.69
732713,1.73
732714,1.74
732715,1.74
732716,1.73
732717,1.7
732718,1.67
732719,1.64
732720,1.61
732721,1.59
732722,1.59
732723,1.61
732724,1.63
732725,1.63
732726,1.62
732727,1.63
732728,1.62
732729,1.64
732730,1.66
732731,1.66
732732,1.69
732733,1.69
732734,1.66
732735,1.64
732736,1.63
732737,1.59
732738,1.58
732739,1.58
732740,1.57
732741,1.6
732742,1.64
732743,1.66
732744,1.66
732745,1.66
732746,1.67
732747,1.72
732748,1.77
732749,1.79
732750,1.8
732751,1.83
732752,1.84
732753,1.85
732754,1.81
732755,1.77
732756,1.76
732757,1.76
732758,1.8
732759,1.84
732760,1.88
732761,1.92
732762,1.95
732763,1.99
732764,2
732765,2
732766,1.99
732767,2.01
732768,2.04
732769,2.07
732770,2.08
732771,2.1
732772,2.09
732773,2.09
732774,2.12
732775,2.13
732776,2.12
732777,2.14
732779,2.18
732780,2.22
732781,2.2
732782,2.19
732783,2.16
732784,2.16
732785,2.18
732786,2.24
732787,2.31
732788,2.36
732789,2.37
732790,2.38
732791,2.4
732792,2.41
732793,2.42
732794,2.41
732795,2.43
732796,2.45
732797,2.5
732798,2.54
732799,2.6
732800,2.63
732801,2.66
732802,2.7
732803,2.74
732804,2.71
732805,2.72
732806,2.74
732807,2.8
732808,2.84
732809,2.89
732810,2.94
732811,2.97
732812,3.02
732813,3.04
732814,3.07
732815,3.07
732816,3.07
732817,3.06
732818,3.07
732819,3.09
732820,3.07
732821,3.06
732822,3.02
732823,3.03
732824,3.07
732825,3.11
732826,3.17
732827,3.22
732828,3.22
732829,3.27
732830,3.28
732831,3.3
732832,3.33
732833,3.36
732834,3.38
732835,3.41
732836,3.46
732837,3.44
732838,3.45
732839,3.42
732840,3.44
732841,3.5
732842,3.52
732843,3.55
732844,3.56
732845,3.64
732846,3.65
732847,3.72
732848,3.74
732849,3.69
732850,3.71
732851,3.73
732852,3.73
732853,3.76
732854,3.79
732855,3.82
732856,3.84
732857,3.87
732858,3.89
732859,3.9
732860,3.91
732861,3.89
732862,3.9
732863,3.92
732864,3.92
732865,3.92
732866,3.93
732867,3.94
732868,3.95
732869,3.97
732870,4.01
732871,4.04
732872,4.09
732873,4.17
732874,4.16
732875,4.26
732876,4.2
732877,4.21
732878,4.22
732879,4.23
