TrafficLoad, '2007-09-01-16:00:00' 
733308.0833,0.3209
733308.1042,0.275075
733308.125,0.165225
733308.1458,0.186975
733308.1667,0.340325
733308.1875,0.37825
733308.2083,0.30075
733308.2292,0.4046
733308.25,0.6898
733308.2708,0.765925
733308.2917,0.632975
733308.3125,0.647125
733308.3333,0.808375
733308.3542,0.9765
733308.375,1.1515
733308.3958,1.1551
733308.4167,0.9873
733308.4375,0.959
733308.4583,1.0702
733308.4792,1.069925
733308.5,0.958175
733308.5208,1.091325
733308.5417,1.469375
733308.5625,1.472825
733308.5833,1.101675
733308.6042,0.88415
733308.625,0.82025
733308.6458,0.877325
733308.6667,1.055375
733308.6875,1.1668
733308.7083,1.2116
733308.7292,1.121175
733308.75,0.895525
733308.7708,0.7147
733308.7917,0.5787
733308.8125,0.536025
733308.8333,0.586675
733308.8542,0.552275
733308.875,0.432825
733308.8958,0.37045
733308.9167,0.36515
733308.9375,0.3982
733308.9583,0.4696
733308.9792,0.4448
733309,0.3238
733309.0208,0.264725
733309.0417,0.267575
733309.0625,0.27575
733309.0833,0.28925
733309.1042,0.352075
733309.125,0.464225
733309.1458,0.7057
733309.1667,1.0765
733309.1875,1.39195
733309.2083,1.65205
733309.2292,2.652725
733309.25,4.393975
733309.2708,5.70705
733309.2917,6.59195
733309.3125,6.32665
733309.3333,4.91115
733309.3542,5.0189
733309.375,6.6499
733309.3958,7.49415
733309.4167,7.55165
733309.4375,7.3097
733309.4583,6.7683
733309.4792,6.81625
733309.5,7.45355
733309.5208,7.628475
733309.5417,7.341025
733309.5625,7.069325
733309.5833,6.813375
733309.6042,6.917675
733309.625,7.382225
733309.6458,6.835625
733309.6667,5.277875
733309.6875,4.13385
733309.7083,3.40355
733309.7292,3.178925
733309.75,3.459975
733309.7708,3.168775
733309.7917,2.305325
733309.8125,1.6829
733309.8333,1.3015
733309.8542,1.0096
733309.875,0.8072
733309.8958,0.7213
733309.9167,0.7519
733309.9375,0.8093
733309.9583,0.8935
733309.9792,0.87145
733310,0.74315
733310.0208,0.668475
733310.0417,0.647425
733310.0625,0.585675
733310.0833,0.483225
733310.1042,0.541325
733310.125,0.759975
733310.1458,0.976275
733310.1667,1.190225
733310.1875,1.492675
733310.2083,1.883625
733310.2292,2.981825
733310.25,4.787275
733310.2708,6.163575
733310.2917,7.110725
733310.3125,7.299725
733310.3333,6.730575
733310.3542,6.713125
733310.375,7.247375
733310.3958,7.41735
733310.4167,7.22305
733310.4375,7.33085
733310.4583,7.74075
733310.4792,7.501275
733310.5,6.612425
733310.5208,6.348725
733310.5417,6.710175
733310.5625,7.03
733310.5833,7.3082
733310.6042,7.328575
733310.625,7.091125
733310.6458,6.5287
733310.6667,5.6413
733310.6875,5.2321
733310.7083,5.3011
733310.7292,4.832375
733310.75,3.825925
733310.7708,2.897375
733310.7917,2.046725
733310.8125,1.355
733310.8333,0.8222
733310.8542,0.62255
733310.875,0.75605
733310.8958,1.03495
733310.9167,1.45925
733310.9375,1.44635
733310.9583,0.99625
733310.9792,0.702975
733311,0.566525
733311.0208,0.47355
733311.0417,0.42405
733311.0625,0.398975
733311.0833,0.398325
733311.1042,0.45265
733311.125,0.56195
733311.1458,0.76935
733311.1667,1.07485
733311.1875,1.433725
733311.2083,1.845975
733311.2292,3.167575
733311.25,5.398525
733311.2708,6.60905
733311.2917,6.79915
733311.3125,6.980825
733311.3333,7.154075
733311.3542,7.00265
733311.375,6.52655
733311.3958,6.7338
733311.4167,7.6244
733311.4375,7.860125
733311.4583,7.440975
733311.4792,7.4072
733311.5,7.7588
733311.5208,7.727275
733311.5417,7.312625
733311.5625,7.134875
733311.5833,7.194025
733311.6042,7.050125
733311.625,6.703175
733311.6458,6.2509
733311.6667,5.6933
733311.6875,5.141375
733311.7083,4.595125
733311.7292,4.13
733311.75,3.746
733311.7708,3.080225
733311.7917,2.132675
733311.8125,1.72935
733311.8333,1.87025
733311.8542,1.52815
733311.875,0.70305
733311.8958,0.660125
733311.9167,1.399375
733311.9375,1.510075
733311.9583,0.992225
733311.9792,0.64305
733312,0.46255
733312.0208,0.447875
733312.0417,0.599025
733312.0625,0.6927
733312.0833,0.7289
733312.1042,0.7779
733312.125,0.8397
733312.1458,0.874675
733312.1667,0.882825
733312.1875,1.135275
733312.2083,1.632025
733312.2292,2.83845
733312.25,4.75455
733312.2708,6.00585
733312.2917,6.59235
733312.3125,6.672775
733312.3333,6.247125
733312.3542,6.3576
733312.375,7.0042
733312.3958,7.3779
733312.4167,7.4787
733312.4375,7.431125
733312.4583,7.235175
733312.4792,7.304225
733312.5,7.638275
733312.5208,7.749525
733312.5417,7.637975
733312.5625,7.3883
733312.5833,7.0005
733312.6042,7.08875
733312.625,7.65305
733312.6458,7.34655
733312.6667,6.16925
733312.6875,5.204225
733312.7083,4.451475
733312.7292,4.0993
733312.75,4.1477
733312.7708,3.6293
733312.7917,2.5441
733312.8125,1.79265
733312.8333,1.37495
733312.8542,1.066975
733312.875,0.868725
733312.8958,0.9144
733312.9167,1.204
733312.9375,1.3385
733312.9583,1.3179
733312.9792,1.1341
733313,0.7871
733313.0208,0.65435
733313.0417,0.73585
733313.0625,0.69895
733313.0833,0.54365
733313.1042,0.580075
733313.125,0.808225
733313.1458,1.0472
733313.1667,1.297
733313.1875,1.4729
733313.2083,1.5749
733313.2292,2.711325
733313.25,4.882175
733313.2708,5.906775
733313.2917,5.785125
733313.3125,6.347725
733313.3333,7.594575
733313.3542,7.74355
733313.375,6.79465
733313.3958,6.51385
733313.4167,6.90115
733313.4375,6.9224
733313.4583,6.5776
733313.4792,6.544
733313.5,6.8216
733313.5208,7.10975
