'TS062ND1',2007-08-22-00:00:00'
733288.7083,16.95316667
733288.7292,16.64645833
733288.75,16.32395833
733288.7708,15.87416667
733288.7917,15.33391667
733288.8125,14.821375
733288.8333,14.40533333
733288.8542,13.92725
733288.875,13.52529167
733288.8958,13.23208333
733288.9167,13.04975
733288.9375,12.88008333
733288.9583,12.727125
733288.9792,12.48466667
733289,12.27966667
733289.0208,12.11304167
733289.0417,11.9565
733289.0625,11.67070833
733289.0833,11.429125
733289.1042,11.27579167
733289.125,10.98179167
733289.1458,10.73841667
733289.1667,10.488125
733289.1875,10.226
733289.2083,10.0374875
733289.2292,9.903116667
733289.25,9.912429167
733289.2708,10.23120833
733289.2917,10.56604167
733289.3125,10.82404167
733289.3333,11.130375
733289.3542,11.59770833
733289.375,12.293
733289.3958,13.15325
733289.4167,13.954375
733289.4375,14.69891667
733289.4583,15.37608333
733289.4792,15.91158333
733289.5,16.43108333
733289.5208,16.866
733289.5417,17.25675
733289.5625,17.54266667
733289.5833,17.86620833
733289.6042,18.12858333
733289.625,18.27708333
733289.6458,18.25916667
733289.6667,18.13583333
733289.6875,17.99125
733289.7083,17.75416667
733289.7292,17.43875
733289.75,17.00791667
733289.7708,16.63833333
733289.7917,16.11583333
733289.8125,15.61083333
733289.8333,15.19083333
733289.8542,14.7225
733289.875,14.37583333
733289.8958,14.065
733289.9167,13.755
733289.9375,13.49375
733289.9583,13.15958333
733289.9792,12.76541667
733290,12.38625
733290.0208,12.05625
733290.0417,11.7525
733290.0625,11.52541667
733290.0833,11.25208333
733290.1042,11.0025
733290.125,10.8475
733290.1458,10.6475
733290.1667,10.45583333
733290.1875,10.23333333
733290.2083,10.07158333
733290.2292,9.93375
733290.25,9.784291667
733290.2708,9.907708333
733290.2917,10.07841667
733290.3125,10.31583333
733290.3333,10.69625
733290.3542,11.36083333
733290.375,12.34833333
733290.3958,13.39458333
733290.4167,14.30708333
733290.4375,15.3575
733290.4583,16.32083333
733290.4792,17.15916667
733290.5,17.87791667
733290.5208,18.17916667
733290.5417,18.17916667
733290.5625,18.14191667
733290.5833,18.11975
733290.6042,18.25525
733290.625,18.46245833
733290.6458,19.00691667
733290.6667,19.331875
733290.6875,19.54416667
733290.7083,19.68741667
733290.7292,19.64870833
733290.75,19.46733333
733290.7708,19.06591667
733290.7917,18.58383333
733290.8125,17.97870833
733290.8333,17.441125
733290.8542,16.73879167
733290.875,16.23533333
733290.8958,15.817625
733290.9167,15.54954167
733290.9375,15.326875
733290.9583,15.085125
733290.9792,14.928
733291,14.751875
733291.0208,14.605375
733291.0417,14.39566667
733291.0625,14.234625
733291.0833,14.05533333
733291.1042,13.935375
733291.125,13.72883333
733291.1458,13.47770833
733291.1667,13.38833333
733291.1875,13.10925
733291.2083,12.94529167
733291.2292,12.69991667
733291.25,12.48941667
733291.2708,12.49245833
733291.2917,12.51866667
733291.3125,12.60516667
733291.3333,12.85241667
733291.3542,13.37916667
733291.375,14.144
733291.3958,14.90666667
733291.4167,15.6985
733291.4375,16.62079167
733291.4583,17.386875
733291.4792,18.33616667
733291.5,19.26520833
733291.5208,19.86391667
733291.5417,20.358
733291.5625,20.664875
733291.5833,20.86041667
733291.6042,20.82833333
733291.625,20.798
733291.6458,20.63875
733291.6667,20.42358333
733291.6875,20.198
733291.7083,20.08666667
733291.7292,19.97275
733291.75,19.78116667
733291.7708,19.50616667
733291.7917,19.18608333
733291.8125,18.61433333
733291.8333,18.14466667
733291.8542,17.85066667
733291.875,17.53191667
733291.8958,17.06216667
733291.9167,16.69975
733291.9375,16.31441667
733291.9583,15.87525
733291.9792,15.49616667
733292,15.09908333
733292.0208,14.82275
733292.0417,14.59583333
733292.0625,14.37466667
733292.0833,14.13341667
733292.1042,13.93658333
733292.125,13.64116667
733292.1458,13.37583333
733292.1667,13.11183333
733292.1875,12.79533333
733292.2083,12.51858333
733292.2292,12.22225
733292.25,12.07291667
733292.2708,11.92058333
733292.2917,11.88741667
733292.3125,12.03266667
733292.3333,12.39375
733292.3542,12.94583333
733292.375,13.74708333
733292.3958,14.52116667
733292.4167,15.36375
733292.4375,16.2575
733292.4583,17.28616667
733292.4792,18.637
733292.5,19.62275
733292.5208,20.54441667
733292.5417,21.11104167
733292.5625,21.52391667
733292.5833,21.577375
733292.6042,21.57241667
733292.625,21.067375
733292.6458,20.86883333
733292.6667,20.56454167
733292.6875,20.348
733292.7083,20.07791667
733292.7292,19.78333333
733292.75,19.379875
733292.7708,19.05795833
733292.7917,18.79029167
733292.8125,18.59233333
733292.8333,18.425875
733292.8542,18.09558333
733292.875,17.68554167
733292.8958,17.280875
733292.9167,16.80183333
733292.9375,16.42341667
733292.9583,16.06725
733292.9792,15.70291667
733293,15.4605
733293.0208,15.24058333
733293.0417,15.04095833
733293.0625,14.79370833
733293.0833,14.51820833
733293.1042,14.21620833
733293.125,13.98179167
733293.1458,13.76266667
733293.1667,13.54595833
733293.1875,13.28791667
733293.2083,13.03004167
733293.2292,12.80266667
733293.25,12.67083333
733293.2708,12.61241667
733293.2917,12.67375
733293.3125,12.816625
733293.3333,12.98908333
733293.3542,13.47904167
733293.375,13.85545833
733293.3958,14.46641667
733293.4167,15.160375
733293.4375,16.16908333
733293.4583,17.02808333
733293.4792,18.07166667
733293.5,18.884
733293.5208,19.43833333
733293.5417,19.70258333
733293.5625,19.93358333
733293.5833,20.10208333
733293.6042,20.68591667
733293.625,20.95666667
733293.6458,21.13425
733293.6667,21.27341667
733293.6875,21.28541667
733293.7083,21.15558333
733293.7292,20.83583333
733293.75,20.218
733293.7708,19.32275
733293.7917,18.35141667
733293.8125,17.43633333
733293.8333,16.72125
733293.8542,16.20758333
733293.875,15.76241667
733293.8958,15.32975
733293.9167,14.94708333
733293.9375,14.616
733293.9583,14.33058333
733293.9792,14.10791667
733294,13.94675
733294.0208,13.75508333
733294.0417,13.54766667
733294.0625,13.39075
733294.0833,13.29291667
733294.1042,13.12191667
733294.125,12.92183333
733294.1458,12.88583333
733294.1667,12.8565
733294.1875,12.76025
733294.2083,12.838375
733294.2292,12.840125
733294.25,12.827125
733294.2708,12.93858333
733294.2917,13.076
733294.3125,13.28958333
733294.3333,13.52895833
733294.3542,13.95083333
733294.375,14.369375
733294.3958,14.885625
733294.4167,15.48979167
733294.4375,16.17208333
733294.4583,16.73979167
733294.4792,17.21354167
733294.5,17.47166667
733294.5208,17.72583333
733294.5417,17.8925
733294.5625,18.05895833
733294.5833,18.14458333
733294.6042,18.13875
733294.625,18.14041667
733294.6458,17.95833333
733294.6667,17.81770833
733294.6875,17.71041667
733294.7083,17.605
733294.7292,17.26916667
733294.75,17.00020833
733294.7708,16.639375
733294.7917,16.47125
733294.8125,16.24083333
733294.8333,16.00541667
733294.8542,15.79166667
733294.875,15.573125
733294.8958,15.42083333
733294.9167,15.215
733294.9375,14.93645833
733294.9583,14.660625
733294.9792,14.23145833
733295,13.91125
733295.0208,13.72125
733295.0417,13.525625
733295.0625,13.63208333
733295.0833,13.64458333
733295.1042,13.53979167
733295.125,13.38916667
733295.1458,13.30458333
733295.1667,13.27020833
733295.1875,13.1925
733295.2083,13.11041667
733295.2292,13.1175
733295.25,13.15833333
733295.2708,13.27204167
733295.2917,13.527
733295.3125,14.218875
733295.3333,14.97425
733295.3542,15.54016667
733295.375,16.1085
733295.3958,16.57241667
733295.4167,16.83441667
733295.4375,17.07058333
733295.4583,17.44558333
733295.4792,17.60075
733295.5,17.8125
733295.5208,18.09791667
733295.5417,18.374
733295.5625,18.379
733295.5833,18.55916667
733295.6042,18.45875
733295.625,18.42533333
733295.6458,18.223
733295.6667,17.86783333
733295.6875,17.60816667
733295.7083,17.61016667
733295.7292,17.47925
733295.75,17.2485
733295.7708,16.81866667
733295.7917,16.33466667
733295.8125,15.736
733295.8333,15.22758333
733295.8542,14.81675
733295.875,14.42583333
733295.8958,14.10683333
733295.9167,13.79016667
733295.9375,13.483
733295.9583,13.185
733295.9792,12.93041667
733296,12.65191667
733296.0208,12.44275
733296.0417,12.22333333
733296.0625,12.05191667
733296.0833,11.826
733296.1042,11.75066667
733296.125,11.60941667
733296.1458,11.48175
733296.1667,11.30425
733296.1875,11.22841667
733296.2083,11.1365
733296.2292,11.015
733296.25,10.75541667
733296.2708,10.67783333
733296.2917,10.8585
733296.3125,11.04933333
733296.3333,11.44195833
733296.3542,12.06883333
733296.375,12.67720833
733296.3958,13.35920833
733296.4167,13.92395833
733296.4375,14.50729167
733296.4583,15.08616667
733296.4792,15.74245833
733296.5,16.404625
733296.5208,16.93220833
733296.5417,17.29745833
733296.5625,17.63945833
733296.5833,17.83141667
733296.6042,17.84191667
733296.625,17.74758333
733296.6458,17.675375
733296.6667,17.432125
733296.6875,17.18708333
733296.7083,16.99104167
733296.7292,16.873875
733296.75,16.71775
733296.7708,16.45079167
733296.7917,16.16333333
733296.8125,15.91354167
733296.8333,15.39829167
733296.8542,14.7055
733296.875,14.27391667
733296.8958,13.90291667
733296.9167,13.55075
733296.9375,13.17445833
733296.9583,12.85016667
733296.9792,12.49025
733297,12.18541667
733297.0208,11.84645833
733297.0417,11.49658333
733297.0625,11.27679167
733297.0833,11.07491667
733297.1042,10.9325
733297.125,10.77929167
733297.1458,10.67670833
733297.1667,10.54020833
733297.1875,10.431375
733297.2083,10.31375
733297.2292,10.17558333
733297.25,10.04508333
733297.2708,10.03354167
733297.2917,10.17529167
733297.3125,10.37179167
733297.3333,10.72191667
733297.3542,11.238625
733297.375,11.95416667
733297.3958,12.73275
733297.4167,13.71579167
733297.4375,14.75708333
733297.4583,16.01233333
733297.4792,17.22308333
733297.5,18.01141667
733297.5208,18.467
733297.5417,18.866
733297.5625,19.3595
733297.5833,19.3865
733297.6042,19.32783333
733297.625,19.14066667
733297.6458,18.83483333
733297.6667,18.855
733297.6875,18.97333333
733297.7083,19.11191667
733297.7292,18.9035
733297.75,18.81208333
733297.7708,18.51358333
733297.7917,18.25691667
733297.8125,17.955
733297.8333,17.68666667
733297.8542,17.51041667
733297.875,17.17491667
733297.8958,16.71883333
733297.9167,16.116
733297.9375,15.73841667
733297.9583,15.21291667
733297.9792,14.78633333
733298,14.47516667
733298.0208,14.09191667
733298.0417,13.63066667
733298.0625,13.25516667
733298.0833,12.84425
733298.1042,12.533
733298.125,12.26125
733298.1458,12.00258333
733298.1667,11.74691667
733298.1875,11.45225
733298.2083,11.19608333
733298.2292,10.96883333
733298.25,10.78933333
733298.2708,10.66308333
733298.2917,10.64141667
733298.3125,10.71529167
733298.3333,11.00454167
733298.3542,11.38683333
733298.375,12.01920833
733298.3958,12.72591667
733298.4167,13.64608333
733298.4375,14.90275
733298.4583,16.24404167
733298.4792,17.26095833
733298.5,17.85208333
