'FREQ_VS1',2007-08-22-00:00:00'
733282.2708,NaN
733282.2917,NaN
733282.3125,NaN
733282.3333,NaN
733282.3542,NaN
733282.375,NaN
733282.3958,NaN
733282.4167,NaN
733282.4375,NaN
733282.4583,NaN
733282.4792,NaN
733282.5,NaN
733282.5208,NaN
733282.5417,NaN
733282.5625,NaN
733282.5833,NaN
733282.6042,NaN
733282.625,NaN
733282.6458,NaN
733282.6667,NaN
733282.6875,NaN
733282.7083,NaN
733282.7292,NaN
733282.75,NaN
733282.7708,NaN
733282.7917,NaN
733282.8125,NaN
733282.8333,NaN
733282.8542,NaN
733282.875,NaN
733282.8958,NaN
733282.9167,NaN
733282.9375,NaN
733282.9583,NaN
733282.9792,NaN
733283,NaN
733283.0208,NaN
733283.0417,NaN
733283.0625,NaN
733283.0833,NaN
733283.1042,NaN
733283.125,NaN
733283.1458,NaN
733283.1667,NaN
733283.1875,NaN
733283.2083,NaN
733283.2292,NaN
733283.25,NaN
733283.2708,NaN
733283.2917,NaN
733283.3125,NaN
733283.3333,NaN
733283.3542,NaN
733283.375,NaN
733283.3958,0.389049965
733283.4167,0.387234875
733283.4375,0.386621753
733283.4583,0.386450869
733283.4792,0.387218064
733283.5,0.389478784
733283.5208,0.390367565
733283.5417,0.390115055
733283.5625,0.389242399
733283.5833,0.390006127
733283.6042,0.390464546
733283.625,0.389227788
733283.6458,0.3910481
733283.6667,0.386845888
733283.6875,0.38911222
733283.7083,0.388209676
733283.7292,0.388605397
733283.75,0.389840446
733283.7708,0.390481539
733283.7917,0.390751248
733283.8125,0.390423313
733283.8333,0.393057934
733283.8542,0.392595321
733283.875,0.391098266
733283.8958,0.393066559
733283.9167,0.393170022
733283.9375,0.394396821
733283.9583,0.392921047
733283.9792,0.393682434
733284,0.393843502
733284.0208,0.395101943
733284.0417,0.39436281
733284.0625,0.390877932
733284.0833,0.395019297
733284.1042,0.394889073
733284.125,0.393422143
733284.1458,0.394699851
733284.1667,0.393875991
733284.1875,0.39302708
733284.2083,0.392109023
733284.2292,0.391903327
733284.25,0.391159392
733284.2708,0.389141346
733284.2917,0.389068028
733284.3125,0.389454632
733284.3333,0.387222575
733284.3542,0.386639857
733284.375,0.389386584
733284.3958,0.386872822
733284.4167,0.385864202
733284.4375,0.386605943
733284.4583,0.385562001
733284.4792,0.387710391
733284.5,0.388580788
733284.5208,0.388589611
733284.5417,0.388376098
733284.5625,0.38548868
733284.5833,0.384383529
733284.6042,0.386009389
733284.625,0.38517754
733284.6458,0.38556045
733284.6667,0.38624879
733284.6875,0.386465987
733284.7083,0.388326667
733284.7292,0.387874334
733284.75,0.387938532
733284.7708,0.390567031
733284.7917,0.389694428
733284.8125,0.391814956
733284.8333,0.391173743
733284.8542,0.392339046
733284.875,0.393113857
733284.8958,0.391848802
733284.9167,0.393142065
733284.9375,0.39295234
733284.9583,0.392192294
733284.9792,0.395150415
733285,0.394545206
733285.0208,0.392136224
733285.0417,0.394935614
733285.0625,0.393418359
733285.0833,0.394964285
733285.1042,0.394105378
733285.125,0.39405658
733285.1458,0.394381776
733285.1667,0.393663208
733285.1875,0.393340898
733285.2083,0.392788481
733285.2292,0.391433863
733285.25,0.390814234
733285.2708,0.389055008
733285.2917,0.388503099
733285.3125,0.385691277
733285.3333,0.388670471
733285.3542,0.388788961
733285.375,0.388390554
733285.3958,0.389813861
733285.4167,0.389497492
733285.4375,0.388546952
733285.4583,0.3877211
733285.4792,0.388048714
733285.5,0.386251896
733285.5208,0.388090562
733285.5417,0.387607844
733285.5625,0.387609562
733285.5833,0.388010993
733285.6042,0.387470591
733285.625,0.387898098
733285.6458,0.388756528
733285.6667,0.389625521
733285.6875,0.388752835
733285.7083,0.389394231
733285.7292,0.389730475
