'TS062NC1',2007-08-22-00:00:00'
733648.6875,19.94375
733648.7083,19.31141667
733648.7292,18.85516667
733648.75,18.41491667
733648.7708,18.06058333
733648.7917,17.8025
733648.8125,17.52283333
733648.8333,17.19558333
733648.8542,16.99383333
733648.875,16.72766667
733648.8958,16.451
733648.9167,16.31341667
733648.9375,16.12033333
733648.9583,15.92691667
733648.9792,15.76958333
733649,15.73066667
733649.0208,15.63866667
733649.0417,15.41375
733649.0625,15.29075
733649.0833,15.12966667
733649.1042,14.97958333
733649.125,14.94133333
733649.1458,14.90433333
733649.1667,14.82225
733649.1875,14.72833333
733649.2083,14.67666667
733649.2292,14.45625
733649.25,14.45916667
733649.2708,14.43375
733649.2917,14.44641667
733649.3125,14.58825
733649.3333,14.80158333
733649.3542,14.911
733649.375,15.22025
733649.3958,15.4415
733649.4167,15.682875
733649.4375,15.92666667
733649.4583,16.26508333
733649.4792,16.45641667
733649.5,16.72708333
733649.5208,17.19525
733649.5417,17.33675
733649.5625,17.54770833
733649.5833,17.45416667
733649.6042,17.56383333
733649.625,17.621125
733649.6458,17.75320833
733649.6667,17.78495833
733649.6875,17.90745833
733649.7083,18.00145833
733649.7292,17.992875
733649.75,17.83416667
733649.7708,17.679
733649.7917,17.51083333
733649.8125,17.29525
733649.8333,17.26075
733649.8542,17.154875
733649.875,17.18195833
733649.8958,16.869625
733649.9167,16.78154167
733649.9375,16.67708333
733649.9583,16.613875
733649.9792,16.53683333
733650,16.245625
733650.0208,16.167625
733650.0417,16.09716667
733650.0625,16.00258333
733650.0833,15.89554167
733650.1042,15.83783333
733650.125,15.77358333
733650.1458,15.74075
733650.1667,15.6885
733650.1875,15.628875
733650.2083,15.625125
733650.2292,15.57470833
733650.25,15.550125
733650.2708,15.628625
733650.2917,15.94808333
733650.3125,16.50425
733650.3333,17.199375
733650.3542,17.96183333
733650.375,18.924875
733650.3958,20.24175
733650.4167,21.09545833
733650.4375,22.36820833
733650.4583,23.58779167
733650.4792,24.16579167
733650.5,25.55875
733650.5208,26.15033333
733650.5417,25.9685
733650.5625,26.11616667
733650.5833,26.468
733650.6042,26.69708333
733650.625,26.92458333
733650.6458,26.53416667
733650.6667,26.10958333
733650.6875,25.349
733650.7083,24.72216667
733650.7292,23.51925
733650.75,22.58716667
733650.7708,21.73083333
733650.7917,21.2715
733650.8125,20.8085
733650.8333,20.3015
733650.8542,20.15691667
733650.875,19.78625
733650.8958,19.5325
733650.9167,19.18191667
733650.9375,18.75883333
733650.9583,18.34375
733650.9792,18.06633333
733651,17.58441667
733651.0208,17.19225
733651.0417,17.09566667
733651.0625,16.73958333
733651.0833,16.301
733651.1042,16.00008333
733651.125,15.91608333
733651.1458,15.89816667
733651.1667,15.79233333
733651.1875,15.37666667
733651.2083,15.02608333
733651.2292,14.98058333
733651.25,14.74341667
733651.2708,14.60466667
733651.2917,14.37191667
733651.3125,14.33266667
733651.3333,14.24641667
733651.3542,14.34283333
733651.375,14.59854167
733651.3958,14.85379167
733651.4167,14.87541667
733651.4375,15.01425
733651.4583,15.76020833
733651.4792,17.07804167
733651.5,18.91425
733651.5208,17.61091667
733651.5417,18.475875
733651.5625,19.829625
733651.5833,18.1845
733651.6042,18.24541667
733651.625,18.21425
733651.6458,18.576125
733651.6667,18.30841667
733651.6875,17.978125
733651.7083,18.593875
733651.7292,18.027
733651.75,17.25604167
733651.7708,16.59083333
733651.7917,16.1395
733651.8125,15.70733333
733651.8333,15.23325
733651.8542,14.901375
733651.875,14.515125
733651.8958,14.16175
733651.9167,13.89775
733651.9375,13.54791667
733651.9583,13.31075
733651.9792,13.17358333
733652,13.161375
733652.0208,12.98316667
733652.0417,12.71683333
733652.0625,12.621625
733652.0833,12.79475
733652.1042,12.90375
733652.125,12.82225
733652.1458,13.021125
733652.1667,13.01829167
733652.1875,13.06645833
733652.2083,13.30854167
733652.2292,13.470625
733652.25,13.34591667
733652.2708,13.60070833
733652.2917,13.974
733652.3125,14.43929167
733652.3333,15.26229167
733652.3542,15.16291667
733652.375,15.57079167
733652.3958,15.761625
733652.4167,16.10645833
733652.4375,16.656125
733652.4583,16.72508333
733652.4792,16.674375
733652.5,17.35733333
733652.5208,17.42608333
733652.5417,18.87254167
733652.5625,17.612
733652.5833,17.17541667
733652.6042,17.00708333
733652.625,16.95291667
733652.6458,16.745
733652.6667,15.59166667
733652.6875,15.295
733652.7083,15.02125
733652.7292,14.895
733652.75,14.74458333
733652.7708,14.59
733652.7917,14.46083333
733652.8125,14.40416667
733652.8333,14.41166667
733652.8542,14.41083333
733652.875,14.455
733652.8958,14.44458333
733652.9167,14.38166667
733652.9375,13.84291667
733652.9583,13.7425
733652.9792,13.44416667
733653,13.33291667
733653.0208,13.25625
733653.0417,13.08875
733653.0625,12.80791667
733653.0833,12.63333333
733653.1042,12.60333333
733653.125,12.51041667
733653.1458,12.45583333
733653.1667,12.3025
733653.1875,12.12791667
733653.2083,11.97541667
733653.2292,11.73291667
733653.25,11.67875
733653.2708,11.59291667
733653.2917,11.77833333
733653.3125,12.36416667
733653.3333,13.09791667
733653.3542,14.10458333
733653.375,15.10583333
733653.3958,15.98958333
733653.4167,16.91958333
733653.4375,18.37833333
733653.4583,19.17083333
733653.4792,18.20041667
733653.5,19.29541667
733653.5208,20.60208333
733653.5417,19.4575
733653.5625,19.83875
733653.5833,19.92375
733653.6042,19.81616667
733653.625,19.51633333
733653.6458,19.09983333
733653.6667,19.56233333
733653.6875,18.65608333
733653.7083,18.48066667
733653.7292,17.68858333
733653.75,17.09545833
733653.7708,16.735125
733653.7917,16.31054167
733653.8125,15.92754167
733653.8333,15.61541667
733653.8542,15.31979167
733653.875,14.925125
733653.8958,14.583
733653.9167,14.278125
733653.9375,13.93675
733653.9583,13.59608333
733653.9792,13.33933333
733654,13.08016667
733654.0208,12.82441667
733654.0417,12.58741667
733654.0625,12.28708333
733654.0833,12.07258333
733654.1042,11.84204167
733654.125,11.715
733654.1458,11.51745833
733654.1667,11.36095833
733654.1875,11.20933333
733654.2083,11.085125
733654.2292,10.96529167
733654.25,11.106
733654.2708,11.04225
733654.2917,11.151875
733654.3125,11.7995
733654.3333,12.54379167
733654.3542,13.39533333
733654.375,14.154
733654.3958,15.44029167
733654.4167,16.52783333
733654.4375,17.49429167
733654.4583,18.6205
733654.4792,16.50825
733654.5,16.98091667
733654.5208,19.13033333
733654.5417,18.99604167
733654.5625,19.980625
733654.5833,18.53166667
733654.6042,19.56545833
733654.625,16.68966667
733654.6458,17.06354167
733654.6667,16.45316667
733654.6875,15.63858333
733654.7083,15.86145833
733654.7292,14.93116667
733654.75,14.935875
