'CLASS01',2007-08-22-00:00:00'
733285.3542,16.37500001
733285.375,10.12500003
733285.3958,6.875
733285.4167,6.625
733285.4375,7.749999993
733285.4583,10.24999999
733285.4792,11.625
733285.5,11.875
733285.5208,11.875
733285.5417,11.625
733285.5625,12
733285.5833,13
733285.6042,12.75
733285.625,11.25000001
733285.6458,12.99999999
733285.6667,18.00000001
733285.6875,18.87500001
733285.7083,15.62500001
733285.7292,13.5
733285.75,12.5
733285.7708,11.875
733285.7917,11.625
733285.8125,10.37500001
733285.8333,8.125000006
733285.8542,6.625000001
733285.875,5.875000003
733285.8958,5.125000001
733285.9167,4.374999999
733285.9375,3.750000001
733285.9583,3.250000001
733285.9792,2.500000001
733286,1.500000004
733286.0208,0.750000001
733286.0417,0.249999999
733286.0625,0
733286.0833,0
733286.1042,0
733286.125,0
733286.1458,0.125
733286.1667,0.375
733286.1875,0.624999999
733286.2083,0.874999999
733286.2292,2.874999995
733286.25,6.624999984
733286.2708,10.37499999
733286.2917,14.12500001
733286.3125,14.37500001
733286.3333,11.12500001
733286.3542,9.000000001
733286.375,8.000000004
733286.3958,9.124999995
733286.4167,12.375
733286.4375,13.625
733286.4583,12.875
733286.4792,12.25
733286.5,11.75
733286.5208,12.625
733286.5417,14.875
733286.5625,16.625
733286.5833,17.875
733286.6042,15.87500001
733286.625,10.62500002
733286.6458,8.249999999
733286.6667,8.750000001
733286.6875,9.249999999
733286.7083,9.749999999
733286.7292,9.500000001
733286.75,8.500000004
733286.7708,8.125
733286.7917,8.375
733286.8125,7.250000007
733286.8333,4.750000007
733286.8542,3.375
733286.875,3.125000001
733286.8958,3.125
733286.9167,3.375
733286.9375,2.875000003
733286.9583,1.625000003
733286.9792,0.750000001
733287,0.250000002
733287.0208,0.125
733287.0417,0.375
733287.0625,0.375000001
733287.0833,0.125000001
733287.1042,0
733287.125,0
733287.1458,0
733287.1667,0
733287.1875,0.374999998
733287.2083,1.124999998
733287.2292,2.624999997
733287.25,4.874999991
733287.2708,6.125
733287.2917,6.375
733287.3125,6.125000002
733287.3333,5.375000002
733287.3542,4.875
733287.375,4.625000001
733287.3958,5.874999996
733287.4167,8.625000004
733287.4375,10.875
733287.4583,12.625
733287.4792,12.5
733287.5,10.50000001
733287.5208,10.375
733287.5417,12.125
733287.5625,14.49999999
733287.5833,17.49999999
733287.6042,19.25
733287.625,19.75
733287.6458,18.00000001
733287.6667,13.99999999
733287.6875,14.24999999
733287.7083,18.74999999
733287.7292,19.00000001
733287.75,15.00000002
733287.7708,11.375
733287.7917,8.124999995
733287.8125,6.250000001
733287.8333,5.750000001
733287.8542,4.375000003
733287.875,2.125000009
733287.8958,1.125
733287.9167,1.375
733287.9375,1.624999999
733287.9583,1.874999999
733287.9792,1.625000001
733288,0.875000003
733288.0208,0.5
733288.0417,0.5
733288.0625,0.5
733288.0833,0.5
733288.1042,0.625
733288.125,0.874999999
733288.1458,1.125
733288.1667,1.375
733288.1875,1.999999997
733288.2083,2.999999997
733288.2292,10.49999998
733288.25,24.49999994
733288.2708,35.24999999
733288.2917,42.75000001
733288.3125,41.00000003
733288.3333,30.00000003
733288.3542,20.37500001
733288.375,12.12500003
733288.3958,7.000000003
733288.4167,4.999999997
733288.4375,4.374999998
733288.4583,5.124999998
733288.4792,6.124999998
733288.5,7.374999995
733288.5208,7.500000001
733288.5417,6.499999999
733288.5625,7.124999994
733288.5833,9.374999994
733288.6042,11.625
733288.625,13.87499999
733288.6458,15.5
733288.6667,16.5
733288.6875,17
733288.7083,17
733288.7292,16.25
733288.75,14.75000001
733288.7708,12.375
733288.7917,9.124999995
733288.8125,9.24999999
733288.8333,12.74999999
733288.8542,12.00000001
733288.875,7.000000021
733288.8958,4.375
733288.9167,4.125
733288.9375,3.250000004
733288.9583,1.750000004
733288.9792,0.875
733289,0.625000001
733289.0208,0.375
733289.0417,0.125
733289.0625,0.374999998
733289.0833,1.124999998
733289.1042,1.125000001
733289.125,0.375000003
733289.1458,0.249999999
733289.1667,0.750000001
733289.1875,1.624999997
733289.2083,2.874999997
733289.2292,9.999999982
733289.25,22.99999995
733289.2708,32.87499999
733289.2917,39.62500001
733289.3125,39.50000002
733289.3333,32.50000002
733289.3542,24.00000001
733289.375,14.00000004
733289.3958,9.249999999
733289.4167,9.750000001
733289.4375,9.875000001
733289.4583,9.625000001
733289.4792,9.125000001
733289.5,8.375000003
733289.5208,8.749999998
733289.5417,10.25
733289.5625,10.875
733289.5833,10.625
733289.6042,12
733289.625,14.99999999
733289.6458,16.125
733289.6667,15.375
733289.6875,16.49999999
733289.7083,19.49999999
733289.7292,18.25000001
733289.75,12.75000002
733289.7708,10
733289.7917,10
733289.8125,10.25
733289.8333,10.75
733289.8542,11
733289.875,11
733289.8958,9.125000005
733289.9167,5.374999995
733289.9375,3.000000003
733289.9583,2.000000003
733289.9792,1.375
733290,1.125000001
733290.0208,0.875
733290.0417,0.625
733290.0625,0.5
733290.0833,0.5
733290.1042,0.625
733290.125,0.874999999
733290.1458,0.875
733290.1667,0.625
733290.1875,1.249999996
733290.2083,2.749999996
733290.2292,9.374999984
733290.25,21.12499995
733290.2708,32.49999998
733290.2917,43.50000002
733290.3125,43.25000003
733290.3333,31.75000003
733290.3542,22.62500001
733290.375,15.87500003
733290.3958,11.75
733290.4167,10.25
733290.4375,9.250000001
733290.4583,8.750000001
733290.4792,8.874999999
733290.5,9.624999997
733290.5208,10.5
733290.5417,11.5
733290.5625,12
733290.5833,12
733290.6042,11.625
733290.625,10.875
733290.6458,11.125
733290.6667,12.375
733290.6875,15.12499999
733290.7083,19.37499999
733290.7292,20.375
733290.75,18.12500001
733290.7708,14.25000001
733290.7917,8.749999992
733290.8125,7.124999994
733290.8333,9.374999994
733290.8542,9.250000003
733290.875,6.75000001
733290.8958,5.250000001
733290.9167,4.749999999
733290.9375,4.125000002
733290.9583,3.375000002
733290.9792,2.375000002
733291,1.125000005
733291.0208,0.375
733291.0417,0.125
733291.0625,0.249999999
733291.0833,0.749999999
733291.1042,0.750000001
733291.125,0.250000002
733291.1458,0.249999999
733291.1667,0.750000001
733291.1875,1.374999998
733291.2083,2.124999998
733291.2292,9.874999979
733291.25,24.62499994
733291.2708,34.62499999
733291.2917,39.87500001
733291.3125,39.62500002
733291.3333,33.87500002
733291.3542,25.00000002
733291.375,13.00000005
733291.3958,7.874999998
733291.4167,9.625000002
733291.4375,9.625000005
733291.4583,7.875000005
733291.4792,7.874999998
733291.5,9.624999993
733291.5208,10.375
733291.5417,10.125
733291.5625,11.37499999
733291.5833,14.12499999
733291.6042,15.625
733291.625,15.875
733291.6458,15.75
733291.6667,15.25
733291.6875,17.12499999
733291.7083,21.37499999
733291.7292,19.75000001
733291.75,12.25000003
733291.7708,9.124999998
733291.7917,10.375
733291.8125,10.625
733291.8333,9.875000002
733291.8542,9.625
733291.875,9.874999999
733291.8958,9.000000003
733291.9167,6.999999997
733291.9375,4.875000006
733291.9583,2.625000006
733291.9792,1.375
733292,1.125000001
733292.0208,1
733292.0417,1
733292.0625,0.750000001
733292.0833,0.250000001
733292.1042,0.249999999
733292.125,0.749999998
733292.1458,1
733292.1667,1
733292.1875,1.249999999
733292.2083,1.749999999
733292.2292,8.624999981
